Total.Income,Ave.Stroke,Ave.putting,Ave.birdie,GIR,Par.save,Par.break,Recovery.rate
4758333,74.78,30.96,14.48,63.79,76.19,14.68,48.22
5213214,74.07,30.51,12.78,64.12,80.37,12.78,54.07
3903729,74.3,31.18,10.02,66.67,80.36,10.02,51
5436443,74.23,30.36,12.66,61.75,78.78,12.75,52.62
3985455,74.22,31.8,10.74,67.41,79.44,10.74,55.4
3576262,74.82,30.46,11.5,59.06,76.41,11.7,52.86
4220485,74.26,31.25,13.21,65.21,76.78,13.3,54.71
4202193,74.13,29.22,13.13,54.75,77.78,13.13,56.03
3660606,74.55,31.43,12.07,66.19,77.97,12.07,50.71
4229444,74.68,30.83,10.6,60.6,77.78,10.6,55.09
6163333,74.96,32.03,14.37,66.95,73.47,14.46,43.48
3356205,73.32,31.12,12.89,68.67,82.67,12.89,58.87
4087661,75.03,31.42,10.14,59.13,75.93,10.14,51.84
5774762,73.74,30.28,11.92,63.11,80.22,12.2,54.05
4790544,74.62,31.38,11.22,63.11,77.11,11.33,50.9
4677104,72.8,30.29,20,65.87,77.78,20,41.86
3543477,75.04,31.48,11.98,64.86,76.58,12.09,45.36
3887092,74.44,31.38,10.22,64.56,78.56,10.22,52.35
4476667,74.72,31.26,11,62.33,77.02,11.11,49.26
3806714,74.64,31.89,10.49,66.17,78.52,10.49,52.55
3077946,75.7,30.22,10.79,56.21,75.32,10.79,50.99
3515066,75.38,31.35,12.02,62.35,74.34,12.12,45.63
3772500,75.27,30.71,11.22,58.61,75.58,11.32,50
4517900,71.3,31.3,20,77.78,85,20,60
3707500,74.51,31.93,12.27,67.7,77.26,12.27,48
3630833,73.27,30.91,12.37,68.43,82.83,12.37,64.8
4104000,75.31,31.81,10.91,63.68,76.03,11.01,47.35
5092500,75.24,31.8,12,64.56,74.11,12,44.2
4967500,75.06,30.94,13.54,61.35,75.12,13.66,48.32
4799583,73.92,30.31,13.11,62.82,79.49,13.11,51.72
3397857,72.88,31.12,14.71,71.57,82.03,15.03,52.87
3386000,75.57,31.06,11.11,60.17,74.94,11.23,50.45
3357500,75.25,32.13,10.99,65.25,75.53,10.99,49.66
4166667,75.43,29.86,9.26,53.97,75.4,9.26,56.32
4064643,75,31,11.81,59.72,73.61,11.81,46.55
16000000,73.25,29.5,9.72,61.11,84.72,9.72,64.29
5304206,74.71,31.4,12.65,65.4,76.7,12.65,47.25
4905333,75.78,31.76,10.52,61.23,72.81,10.64,45.17
3648750,75.54,29.93,11.11,54.71,74.52,11.11,49.87
4846667,75.56,32.52,10.3,65.51,73.03,10.53,42.95
4471667,75.78,31.8,10.47,61.65,74.29,10.59,50.88
4412381,75.46,30.73,10.99,58.77,75.43,10.99,47.6
6470000,72.33,30.92,16.2,74.07,83.8,16.2,53.57
6347500,76.18,30.76,9.41,55.67,73.58,9.52,49.62
4166667,76.29,31.65,8.83,61.56,75.07,8.97,43.75
5990310,73.43,31.25,14.29,69.44,80.95,14.29,59.09
5927500,75.26,31.96,9.67,63.37,74.9,9.88,47.75
5711786,74.29,32.96,13.56,72.22,78.67,13.56,40.83
10395000,75.21,31.67,10.94,62.96,75.42,10.94,50.45
10080000,75.53,31.51,10.84,62.06,74.53,10.84,48.57
9065000,77.24,32.37,8.4,59.35,68.83,8.4,39.33
2938333,75.72,32.3,7.58,62.37,73.99,7.7,48.66
1426667,74.5,30.19,12.85,59.72,77.43,12.85,51.72
3831667,75.14,30.59,11.87,59.85,76.52,12.12,53.46
1793750,75.15,31.38,10.05,62.47,77.51,10.19,49.82
6770000,76.97,31.45,7.08,55.85,72.64,7.08,45.36
2205000,74,32.83,12.96,74.07,78.7,12.96,46.43
1960000,77.5,31,15.28,51.39,65.28,15.28,31.43
2818750,76.45,32.2,9.78,60.86,71.5,9.9,40.97
5550000,76.54,32.59,9.36,61.41,71.49,9.36,40.86
5110000,74,30.64,12.59,61.9,79.26,12.59,60.42
4845000,76.18,31.93,9.88,61.11,72.63,9.88,47.09
2308334,75.13,34.5,14.58,76.39,73.61,14.58,29.41
3560000,78.02,30.63,7.28,49.71,71.69,7.28,46.22
3450000,76.55,31.27,9.09,54.55,70.71,9.09,44.44
3050000,75.33,30.33,11.11,62.96,79.63,11.11,60
2910000,75.57,31.43,11.11,64.29,76.19,11.11,48.89
2625000,76.33,28.67,14.81,50,72.22,14.81,48.15
2550000,77.73,32.39,7.99,58.13,67.34,7.99,40.45
2250000,78.2,29.7,10,40.56,65,10,43.93
2128070,77,32.8,10,62.22,67.78,10,32.35
