Total.Income,Ave.Stroke,Ave.putting,Ave.birdie,GIR,Par.save,Par.break,Recovery.rate
3107813,75.39,32.32,9.86,66.37,76.25,9.86,43.91
3535238,75.44,31.44,11.24,65.18,77.51,11.38,48.25
8220000,74,31.6,12.5,71.11,76.04,12.5,53.85
4035833,74.94,32.19,11.41,66.05,76.28,11.41,50.91
3433571,75.14,31.09,11.74,61.74,75.76,11.74,48.18
11854167,73.57,31.29,15.87,70.63,80.16,15.87,48.65
3818205,75.28,31.72,12.36,63.82,74.44,12.36,44.88
3729167,75.85,31.56,9.03,59.12,73.89,9.03,51.22
2762917,75.12,31.12,10.85,61.24,77.13,11.24,50.17
2970833,75.25,32.63,9.44,67.64,75.69,9.44,41.63
8555000,72.33,31.11,16.05,70.37,83.33,16.05,56.25
3062000,75.97,32.59,11.41,66.37,72.37,11.56,42.86
2816000,75.5,32,11.11,64.2,74.62,11.41,44.83
3112500,75.04,30.59,8.94,55.3,72.22,8.94,53.11
4087381,72.91,31.91,12.12,73.23,84.34,12.63,58.49
12000000,71.5,30.75,20.83,70.83,83.33,20.83,66.67
3829444,75.06,31.69,10.78,64.58,71.24,11.44,48.04
2738750,75.97,31.2,10.1,58.52,74.58,10.1,44.2
3096667,76.56,32.64,9.26,62.81,70.52,9.57,36.93
2930000,76.76,31.73,10.32,58.92,70.79,10.48,41.39
2833333,76.26,30.55,7.58,51.08,72.39,7.74,48.35
4171250,75.56,32.37,8.93,64.81,75.6,8.93,47.95
1866250,77.59,31.25,11.71,60.07,71.17,11.71,39.13
7280000,71.67,31,16.67,77.78,87.04,16.67,66.67
3170000,76.85,33.76,8.25,67.65,71.75,8.25,35.86
2727500,77.48,32.68,7.81,59.5,69.44,8.16,41.59
1791667,78.23,33.23,7.71,57.22,65.59,7.71,37.66
2512500,76.62,31.79,7.71,57.28,73.12,7.71,45.29
2394616,73,31.25,11.11,70.83,83.33,11.11,52.38
4581250,76.97,32.9,8.06,62.19,69.71,8.24,44.55
2155433,77.87,30.89,10.27,52.38,70.2,10.27,42.08
3950000,73.67,30.67,12.96,62.96,77.78,12.96,55
3450000,77.66,31.89,7.85,53.97,64.18,7.85,43.1
950000,76,33.4,6.67,68.89,76.67,6.67,46.43
34477127,71.36,31.25,19.07,78.52,85.82,19.82,52.16
35273569,71.95,31.26,15.98,75.77,86.07,16.41,54.51
26174315,71.46,31.02,17.31,77.97,87.04,17.5,58.12
23234319,71.24,30.34,19.12,74.68,86.68,19.2,58.27
19799861,72.49,31.21,13.93,73.1,84.3,14.11,56.72
22136763,72.54,30.59,16.09,69.86,83.24,16.09,54.27
19384243,72.71,29.63,16.31,65.98,82.19,16.49,58.45
19355542,72.37,30.52,15.83,70.63,84.26,16.02,60.47
15616177,72.35,31.37,17.85,75.61,82.58,17.85,48.26
13346638,72.24,31.06,17.45,75.21,83.8,17.61,49.66
19540950,72.36,30.02,17.84,68.78,82.75,17.93,55.52
13358783,72,30.47,16.9,71.96,84.37,17.06,55.42
16780078,72.62,31.18,15.56,72.13,82.59,15.65,50.5
13263654,72.7,31.12,14.64,72.22,83.16,14.64,58.95
12678004,72.48,29.67,15.8,64.56,83.33,15.8,61.89
15112891,73.84,30.8,14.16,65.87,79.84,14.16,53.2
10347785,72.73,30.75,15.09,70.57,82.84,15.09,57.82
11480611,72.37,30.57,16.75,70.81,82.89,16.75,53.78
15710540,72.4,30.95,17.25,74.07,83.68,17.36,52.55
10899642,72.97,30.75,16.75,69.79,80.69,16.75,54.19
11327402,72.76,30.51,17.9,70.4,81.04,17.9,49.54
10545236,73.32,30.6,15.65,66.47,80.09,15.65,52.62
10959262,72.65,30.43,17.16,69.73,82.74,17.16,52.43
56938333,72.78,32.67,11.73,72.22,83.95,12.35,60
52971667,71.2,30.57,20,74.6,85.56,20,56.25
8206908,72.95,30.82,13.49,68.46,82.63,13.49,55.68
9140853,73.13,30.92,14.7,68.93,81.63,14.78,52.42
8151756,73.06,30.63,15.49,68.17,80.47,15.74,46.75
7252344,73.18,31.1,16.09,71.16,80.8,16.09,50.15
12332714,73.52,31.94,15.49,72.76,79.49,15.49,45.88
7919945,73.5,31.49,13.84,70.13,80.51,13.94,47.02
6030293,73.48,31.37,13.72,69.77,81.73,13.8,53.58
8082222,72.87,31.42,15.43,72.54,82,15.54,51.15
10779633,73.06,30.66,13.68,67.78,83.12,13.78,58.62
5885984,73.29,30.7,14.19,66.57,81.37,14.19,52.19
8770690,73.26,30.72,15.22,66.79,80.56,15.22,53.45
7001603,73.77,31.34,13,69.98,79.87,13.52,47.24
7240575,73.35,30.45,13.25,64.74,81.41,13.35,56.59
5534489,73.73,30.23,13.22,64.17,79.71,13.22,57.36
6530467,73.56,31.06,13.26,66.67,80.41,13.35,51.63
5992669,73.95,30.3,12.13,62.55,80.37,12.22,57.69
5513309,73.63,31.38,14.54,71.02,80.09,14.63,44.41
5653314,73.58,31.41,12.72,67.98,80.47,12.81,55
6669038,73.86,31.32,13.29,67.36,79.86,13.39,53.8
6358451,74.05,30.68,13.16,63.42,77.88,13.45,50.43
4860000,74.08,31.39,12.1,67.51,79.66,12.28,49.86
5501000,73.75,30.59,13.26,64.78,80.7,13.26,54.37
5500150,74,31.11,13.43,65.4,78.33,13.7,48.45
5102253,73.93,30.57,14.25,64.38,78.23,14.34,47.63
5631204,73.82,30.87,12.87,65.62,79.73,13.06,49.39
5087309,73.44,31.86,14.23,72.51,80.7,14.43,48.94
4203519,73.83,31.61,12.07,69.95,79.95,12.15,52.12
5380159,74.09,31.04,14.14,65.53,78.38,14.24,49.01
36390000,71,31.13,18.06,78.47,88.19,18.75,64.52
4705167,73.43,31.02,14.46,67.34,79.12,14.66,53.37
6195909,74.79,32.29,13.14,70.09,76.71,13.35,43.21
7882708,72.73,31.2,13.89,71.48,83.7,14.07,61.04
4069609,74.33,31,11.66,63.74,77.78,11.66,49.86
7306875,74.46,31.6,13.77,67.82,77.43,13.77,46.76
4154643,74.16,30.79,12.67,62.67,77.68,12.87,51.44
4691979,74.81,31.62,10.8,63.94,77.25,10.8,51.74
4157923,74.24,31.8,11.73,66.77,79.12,11.73,51.7
4587536,73.88,31.46,11.99,67.38,79.67,12.12,51.09
4106042,73.73,31.16,13.33,67.89,80.33,13.33,52.6
3660655,74.6,31.71,9.09,63.57,78.18,9.09,57.18
3828214,74.67,30.71,11.02,60.09,77.97,11.02,51.99
4176136,73.91,30.65,13.59,63.04,78.37,13.71,52.94
4913358,74.07,30.35,14.98,62.8,77.66,14.98,50
6282619,75.75,30.9,10.97,58.06,73.19,11.11,46.03
3260604,74.68,31.4,12.58,64.57,76.73,12.68,48.22
4096750,74.89,30.59,10.48,58.84,76.64,10.48,52.45
3972743,74.83,30.89,10.76,61.7,78.24,10.76,51.85
5366548,74.97,31.05,12.2,61.25,75.47,12.2,47.31
4152870,75.2,31.17,12.04,62.2,75.13,12.04,48.03
4484167,74.98,32.23,10.07,67.61,78.01,10.07,47.08
4351875,74.69,31.84,12.35,68.89,76.54,12.59,43.25
3835802,74.49,32.42,11.76,70.54,77.26,11.89,49.12
3730000,74.52,31.7,10.39,66.3,78.38,10.75,47.67
4142679,74.57,31.32,11.11,63.51,77.78,11.11,51.21
3583889,74.93,30.57,11.11,58.71,76.77,11.11,55.35
4536905,75.57,30.68,13.01,62.31,75.58,13.3,46.22
3818125,74.95,31.52,9.85,63.76,76.64,9.85,51.57
3541308,75.7,31.27,10.3,59.58,75,10.42,43.99
3485000,75.61,31.84,11.49,63.26,73.74,11.62,40.89
3483750,74.71,31.68,12.57,66.67,75.93,12.7,45.94
5469750,74.92,31.97,13.16,67.69,75.88,13.16,42.99
8780667,71.64,31.82,12.63,79.8,89.9,12.63,75
